committee_name,committee_id,bonica_rid,treasurer_name
STOP THESE OPPRESSIVE PEOPLE: TYRANTS RACISTS UNQUALIFIEDS MISOGYNISTS PROPAGANDISTS (STOP TRUMP),C00847673,comm209007,"PASCAL, HARRY"
CONGRESSIONAL PROGRESSIVE CAUCUS PAC,C00513176,comm120227,DIANE EVANS
ANIMAL PROTECTION PAC,C00878165,comm210408,"PETTERSON, JAY"
BLUE WARRIORS,C00904763,comm167653,"MYLES, JOSHUA"
INTEGRITY FIRST PAC,C00632562,comm139710,"MELE, STEVEN"
PROGRESSIVE MAJORITY PAC,C00663609,comm143051,"MAY, JENNIFER"
BLUE VICTORY FUND PAC,C00884478,comm159710,"TINSMON, CASSANDRA"
PROGRESSIVE TAKEOVER,C00659599,comm142275,BRIAN KOPPE
PROGRESSIVE TURNOUT PROJECT,C00580068,comm121859,"PASCAL, HARRY"
DEMOCRATIC STRATEGY INSTITUTE,C00745786,comm151950,"FOUCART, BRIAN"
DEMOCRATS DEFENDING DEMOCRACY,C00872440,comm210090,"COLEMAN, KIMBERLY"
DEFEAT EXTREMISTS,C00829754,comm208279,"ROUGEAU, ALEXANDER"
DEMOCRACYFIRST PAC,C00808998,comm204308,"BAILEY, MARK"
PROTECT OUR DEMOCRACY FUND,C00889717,comm157717,"KOOB, CHRISTOPHER"
BLUE WAVE CALIFORNIA,C00840983,comm208718,"KOOB, CHRISTOPHER"
CONGRESSIONAL BLACK CAUCUS PAC,C00147512,comm10963,"JENKINS, EARL"
ABOLISH THE ELECTORAL COLLEGE,C00708552,comm149356,"STEELE, RORY"
DEFEAT THE EXTREME FUND,C00883785,comm213463,"BRILL, JONATHAN E"
BRADY PAC,C00674093,comm144546,"BROWN, KRIS"
NEW DEMOCRAT COALITION ACTION FUND,C00409730,comm21592,D. ADAM SMITH
ELECT DEMOCRATIC WOMEN,C00685297,comm146824,"ZAMORE, JUDITH"
BATTLEGROUND DEMOCRATS,C00884510,comm159714,"PETTERSON, JAY"
THE BLUE RESISTANCE,C00892463,comm158837,"KLUTHE, CHRIS `"
STOP SENATE REPUBLICANS PAC,C00769844,comm198916,"PETTERSON, JAY"
AMERIPAC: THE FUND FOR A GREATER AMERICA,C00271338,comm16371,AMY L. PRITCHARD
UNITEDEMOCRATS PAC,C00740126,comm151506,"JACKSON, SUE"
BAN ASSAULT WEAPONS NOW PAC,C00848937,comm209061,"MAGGIOLO, GLORIA"
DEMOCRATS 2024,C00860163,comm209610,"KOOB, CHRISTOPHER"
THE REAL TEXAS PAC,C00831974,comm206445,"KOOB, CHRISTOPHER"
ASPIRE PAC,C00506907,comm24990,"ENG, VINCENT"
MARCH ON PAC,C00748228,comm152121,"HARMON, EVVIE"
NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,C00603084,comm134283,"FOUCART, BRIAN"
BLUE STATES PAC,C00776575,comm199781,"BEGUN, JEREMY"
RURAL AMERICA RISING,C00893529,comm160488,"MORITZ, LORNA J"
THE NO KINGS PAC,C00898379,comm163488,"PETTERSON, JAY"
FIGHT THE RIGHT PAC,C00775205,comm199281,"BEGUN, JEREMY"
STOP PROJECT 2025,C00884874,comm148805,"JACKSON, SUE"
DELIVER DEMOCRACY,C00746909,comm152034,"KOOB, CHRISTOPHER"
ELECT DIVERSE DEMOCRATS PAC,C00782599,comm200733,"EVANS, DIANE"
OCCUPY DEMOCRATS ELECTION FUND,C00718510,comm150285,"TROY, MEGAN"
DEMOCRATIC TURNOUT PROJECT PAC,C00844639,comm208878,"GALVIN, BRENDAN"
BLUEWAVEAMERICA,C00787945,comm201439,"HEAVRIN, MARY CHRISTINA MS."
NO KINGS PROJECT PAC,C00898759,comm163508,"BEGUN, JEREMY"
DEMOCRATS 2026,C00897173,comm208656,"KOOB, CHRISTOPHER"
SD PAC,C00757419,comm154735,"JACKSON, SUE"
CRUSH MAGA PAC,C00879221,comm210484,"JACKSON, SUE"
RETIRED DEMS 2024,C00880401,comm210564,"FIESTA, RICHARD J."
SAEF,C00877761,comm210384,"MYLES, JOSHUA"
EQUALITY PAC,C00550970,comm183490,"MAY, JENNIFER"
DEMOCRATIC CONSERVATION ALLIANCE PAC,C00657452,comm142188,"MELE, STEVEN"
ELECT DEMS NOW PAC,C00880062,comm210541,"PETTERSON, JAY"
BATTLEGROUND BLUE PAC,C00902403,comm164308,"TINSMON, CASSANDRA"
PROGRESSIVE PROMISE,C00897926,comm163080,"HINTON, JASON"
NEW DEMOCRAT MAJORITY,C00859660,comm209587,"PETTERSON, JAY"
BLUEGRASS PAC,C00879031,comm210472,"GLASS, KRISTI"
THE FIRST ASK,C00853010,comm209324,"WELLES, CAROLINE"
CHC BOLD PAC,C00365536,comm19737,"EVANS, DIANE"
PRO-CHOICE WOMEN,C00840702,comm208706,"MYLES, JOSHUA"
DEM TURNOUT 2026,C00894295,comm205763,"PASCAL, HARRY"
FUTURE DEMOCRATS PAC,C00785311,comm201254,"GUO, EMILY"
ELECT EVERY DEMOCRAT PAC,C00899435,comm163572,"KYRIACOPOULOS, JANICA"
SENATE FIGHT FUND,C00814616,comm204876,"KOOB, CHRISTOPHER"
PROGRESSIVE COURTS PAC,C00840975,comm208717,"MELE, STEVEN"
JUSTICE PAC,C00898395,comm163491,"HOLT, CHRISTINE"
MOMS FED UP,C00578484,cand1029,DANIEL A FLORES
STOP THE BILLIONAIRE BAILOUT PAC,C00897025,comm208620,"MARTIN, GEMMA W."
MEDICARE FOR ALL,C00685552,comm146846,"MONTOYA, DACEY"
DEMOCRATS WIN FUND,C00894881,comm206337,"PETTERSON, JAY"
OUR VOICE OUR VOTE ARIZONA PAC,C00752576,comm152426,"JOHNSON, RYAN"
THE DEMOCRACY PROJECT PAC,C00902726,comm164394,"KOOB, CHRIS"
DEMOCRACY ON THE LINE,C00793687,comm202286,"JACKSON, SUE"
DEMOCRATS VOTE,C00887588,comm154498,"MELE, STEVEN"
BOLD MAJORITY PAC,C00783837,comm200831,"BEGUN, JEREMY"
DEFEND DEMOCRACY NOW PAC,C00844795,comm208886,"KYRIACOPOULOS, JANICA"
DLP PAC,C00895730,comm207294,"GILLIGAN, TARA"
PRO-CHOICE MAJORITY 2024,C00864363,comm209741,"PETTERSON, JAY"
FIELDS OF CHANGE PAC,C00895482,comm207079,"BERGER, OWEN"
PROTECT DEMOCRACY INITIATIVE,C00868307,comm209903,"MAY, JENNIFER"
FREEDOM DEMOCRATS,C00886978,comm152998,"MAY, JENNIFER"
RETIRED AMERICANS PAC,C00483883,comm24063,"COYLE, EDWARD F MR"
BATTLEGROUND TURNOUT PROJECT PAC,C00899112,comm163536,"ROBERSON, JOHN"
DEFEND THE VOTE,C00764233,comm155282,"CONNELLY, JEANNE"
DEMOCRATIC MAJORITY FUND,C00844720,comm208884,"ANGERHOLZER, LINDSAY F."
RETIRED DEMS 2026,C00895193,comm206839,"FIESTA, RICHARD"
STOP REPUBLICAN JUDGES,C00897223,comm208670,"PETTERSON, JAY"
RESISTANCE PAC,C00892216,comm159584,"MAY, JENNIFER"
DEMAND JUSTICE PAC,C00760827,comm155024,"FALLON, BRIAN"
VOTE BY MAIL PAC,C00751982,comm152381,"FOUCART, BRIAN"
NO VOTE LEFT BEHIND PAC,C00772848,comm199077,"MAY, JENNIFER"
PRO-CHOICE MAJORITY 2026,C00894063,comm205702,"PETTERSON, JAY"
STOP THE CHAOS PAC,C00901306,comm164024,"KYRIACOPOULOS, JANICA"
TAKE BACK THE HOUSE PAC,C00829895,comm208288,"MAY, JENNIFER"
STOP GUN VIOLENCE PAC,C00819912,comm206385,"LEMEK, BRIAN"
VOTE BLUE MAJORITY,C00792093,comm202209,"PERKINS, MATTHEW"
DEMOCRACY FOR ALL PAC,C00907741,comm168496,"PETTERSON, JAY"
THE PEOPLE UNITED PAC,C00776419,comm199771,"PHELAN, MICHAEL"
DEFEAT REPUBLICANS PAC,C00755702,comm154080,"GRAY, AMY"
BLACK MEN VOTE PAC,C00528950,comm121088,"KIRK, WILLIAM A MR"
FUTURES PAC,C00830745,comm204451,"RATCLIFF, ELIZABETH"
PRO CHOICE DEMOCRATS,C00915736,comm171203,"MYLES, JOSHUA"
DEMOCRATIC ACTION COMMITTEE,C00913012,comm156584,"BERGER, OWEN"
DEFEND THE VOTE LEADERSHIP FUND,C00831495,comm205426,"LEMEK, BRIAN"
BLUE AMERICA,C00745430,comm151927,"PETTERSON, JAY"
